timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, axialPower, turnPower
00:00:35,72.571,117.57,553.355,456.543,444.955,4.757,0.002,0.528,0,
00:00:35,69.556,114.733,524.72,428.875,434.179,4.755,0.002,0.528,0,
00:00:36,63.974,107.624,490.182,395.179,408.879,4.766,0.002,0.535,0,
00:00:36,60.227,102.927,456.844,362.341,375.493,4.817,0.001,0.544,0,
00:00:36,55.951,433.371,374.567,328.341,340.617,4.868,0.001,0.547,0,
00:00:36,51.355,398.078,340.442,294.243,305.472,4.898,0.001,0.548,0,
00:00:36,389.322,368.094,311.362,265.112,275.368,4.912,0,0.547,0,
00:00:36,356.596,337.236,281.31,243.6,244.055,4.927,-0,0.549,-0,
00:00:36,326.619,308.258,252.416,253.737,212.992,4.843,-0.003,0.487,-0.002,
00:00:36,297.312,278.326,269.311,220.634,177.534,4.314,-0.008,0.352,-0.002,
00:00:36,276.634,255.512,244.282,193.01,196.349,3.356,-0.011,0.21,-0.003,
00:00:37,268.174,243.245,228.921,222.576,174.919,2.41,-0.013,0.141,-0.003,
00:00:37,270.652,240.007,221.645,211.874,161.007,1.806,-0.014,0.15,-0.004,
00:00:37,280.145,241.792,218.516,205.01,198.764,1.704,-0.014,0.213,-0.004,
00:00:37,293.247,245.095,216.167,198.749,189.25,1.966,-0.014,0.277,-0.003,
00:00:37,312.527,251.249,215.537,193.872,181.166,2.369,-0.014,0.329,-0.003,
00:00:37,294.242,257.984,214.193,187.995,172.167,2.74,-0.014,0.356,-0.003,
00:00:37,269.512,265.742,213.221,182.669,164.137,3.009,-0.014,0.381,-0.003,
00:00:37,268.615,264.997,214.99,179.154,157.665,3.222,-0.014,0.378,-0.003,
00:00:37,315.038,233.506,220.544,176.957,151.601,3.202,-0.013,0.327,-0.003,
00:00:38,346.466,209.675,226.846,177.17,147.932,2.979,-0.012,0.272,-0.003,
00:00:38,325.932,226.195,198.648,184.392,148.818,2.618,-0.012,0.248,-0.003,
00:00:38,309.006,292.681,175.19,189.836,152.054,2.42,-0.012,0.25,-0.003,
00:00:38,295.904,296.374,168.186,167.324,160.076,2.362,-0.012,0.261,-0.003,
00:00:38,284.333,281.064,215.89,146.963,160.196,2.385,-0.013,0.276,-0.003,
00:00:38,274.283,267.426,268.873,135.188,137.762,2.477,-0.013,0.3,-0.003,
00:00:38,262.596,251.777,249.083,190.896,112.839,2.648,-0.013,0.324,-0.003,
00:00:38,250.463,235.9,229.529,230.307,140.57,2.861,-0.013,0.356,-0.003,
00:00:38,294.754,221.47,211.795,209.015,212.685,3.106,-0.014,0.387,-0.003,
00:00:39,286.845,207.869,195.757,190.448,191.071,3.335,-0.013,0.408,-0.003,
00:00:39,277.557,246.371,176.868,169.191,167.015,3.498,-0.013,0.4,-0.003,
00:00:39,269.346,233.068,158.291,148.76,144.452,3.536,-0.013,0.39,-0.003,
00:00:39,263.293,221.222,140.569,129.653,123.801,3.493,-0.013,0.381,-0.003,
00:00:39,260.779,211.713,182.863,112.441,105.542,3.425,-0.013,0.36,-0.003,
00:00:39,261.58,203.575,170.876,151.185,88.297,3.21,-0.013,0.3,-0.003,
00:00:39,273.789,203.051,165.354,143.13,129.645,2.885,-0.013,0.267,-0.003,
00:00:39,305.148,209.2,162.922,136.814,121.089,2.662,-0.013,0.286,-0.003,
00:00:40,697.278,223.709,164.514,133.294,114.969,2.693,-0.013,0.314,-0.003,
00:00:40,667.608,248.796,169.372,131.414,110.087,2.714,-0.013,0.279,-0.003,
00:00:40,595.806,300.311,181.119,132.541,107.076,2.541,-0.013,0.263,-0.003,
00:00:40,577.069,632.987,210.745,141.826,109.379,2.512,-0.013,0.294,-0.003,
00:00:40,514.893,561.315,265.977,157.825,114.678,2.678,-0.013,0.338,-0.003,
00:00:40,441.592,540.077,595.386,183.973,123.626,3.008,-0.012,0.401,-0.003,
00:00:40,389.749,474.593,523.241,219.734,135.693,3.401,-0.01,0.457,-0.002,
00:00:40,368.796,451.252,495.342,555.397,148.667,3.896,-0.006,0.508,-0.001,
00:00:40,341.687,423.867,466.015,522.679,160.237,4.309,-0.003,0.531,-0,
00:00:41,309.537,392.885,435,490.558,514.229,4.571,0,0.536,0,
00:00:41,274.643,359.864,403.02,458.783,481.709,4.701,0.002,0.535,0.001,
00:00:41,279.397,324.629,369.114,425.43,447.956,4.754,0.002,0.532,0.001,
00:00:41,295.275,311.609,341.264,398.069,420.307,4.751,0.003,0.518,0.001,
00:00:41,271.095,309.961,308.593,366.194,388.348,4.63,0.004,0.483,0.001,
00:00:41,236.575,277.871,278.263,337.204,359.963,4.401,0.005,0.447,0.002,
00:00:41,229.489,251.207,253.267,313.808,337.615,4.17,0.007,0.418,0.002,
00:00:41,225.709,223.042,276.18,290.504,316.539,3.899,0.01,0.394,0.003,
00:00:41,198.606,198.924,255.314,272.604,302.257,3.662,0.012,0.367,0.003,
00:00:42,178.001,229.38,240.273,260.563,294.367,3.418,0.013,0.328,0.003,
00:00:42,160.49,214.82,228.538,252.317,291.505,3.161,0.014,0.316,0.004,
00:00:42,192.037,201.391,218.688,247.46,295.282,3.048,0.015,0.346,0.004,
00:00:42,176.942,189.308,210.405,245.179,304.818,3.2,0.015,0.401,0.004,
00:00:42,163.904,179.18,204.445,246.732,323.467,3.564,0.015,0.466,0.004,
00:00:42,152.486,170.042,199,248.962,346.48,3.944,0.014,0.506,0.003,
00:00:42,138.616,158.512,191.884,252.784,387.565,4.317,0.014,0.525,0.003,
00:00:42,127.704,149.538,187.239,260.962,366.403,4.518,0.013,0.528,0.003,
00:00:42,116.045,140.237,184.247,280.951,332.092,4.55,0.013,0.473,0.003,
00:00:43,109.383,136.651,189.706,313.39,401.661,4.288,0.013,0.411,0.003,
00:00:43,106.267,139.784,213.672,281.545,375.3,3.782,0.014,0.316,0.004,
00:00:43,112.227,159.452,261.448,352.158,404.217,3.088,0.015,0.244,0.004,
00:00:43,130.481,210.67,237.058,333.066,392.652,2.638,0.016,0.263,0.004,
00:00:43,163.656,224.416,317,370.62,388.401,2.623,0.016,0.326,0.004,
00:00:43,210.919,204.693,301.28,360.759,437.953,2.925,0.015,0.409,0.004,
00:00:43,187.626,281.007,334.499,351.023,437.11,3.461,0.015,0.498,0.004,
00:00:43,255.607,256.429,315.291,390.693,434.14,4.178,0.014,0.573,0.003,
00:00:43,229.01,281.755,295.807,377.352,427.666,4.722,0.013,0.611,0.003,
00:00:44,246.126,254.225,324.576,359.822,417.899,5.151,0.012,0.616,0.003,
00:00:44,220.119,230.428,304.946,344.208,409.35,5.348,0.012,0.625,0.003,
00:00:44,194.514,258.779,284.788,327.677,481.119,5.485,0.011,0.622,0.003,
00:00:44,216.698,233.479,261.697,308.33,736.359,5.509,0.011,0.601,0.003,
00:00:44,194.722,212.596,242.187,291.641,685.255,5.376,0.01,0.553,0.003,
00:00:44,175.66,194.473,225.472,278.286,641.358,5.07,0.01,0.486,0.003,
00:00:44,156.271,176.273,209.444,362.623,594.626,4.496,0.011,0.398,0.003,
00:00:44,142.911,164.993,202.42,592.416,554.581,3.916,0.012,0.366,0.003,
00:00:44,135.736,160.461,203.77,554.003,477.327,3.65,0.013,0.386,0.003,
00:00:44,129.57,157.999,550.918,514.196,447.886,3.69,0.012,0.449,0.003,
00:00:45,123.4,155.463,505.718,478.938,420.329,4.049,0.01,0.524,0.002,
00:00:45,114.72,502.466,465.003,396.749,392.076,4.552,0.007,0.589,0.001,
00:00:45,185.325,455.541,425.325,362.264,360.708,5.06,0.005,0.636,0.001,
00:00:45,460.257,415.988,390.307,330.259,330.255,5.421,0.003,0.661,0,
00:00:45,417.458,378.437,355.978,297.825,298.493,5.695,0.001,0.667,-0,
00:00:45,371.862,336.614,316.247,258.843,259.139,5.714,-0.003,0.573,-0.002,
00:00:45,338.3,303.164,282.413,272.057,222.295,4.878,-0.009,0.344,-0.003,
00:00:45,324.392,284.6,260.556,247.183,194.091,3.629,-0.014,0.224,-0.004,
00:00:46,332.427,282.95,252.538,234.462,225.186,2.699,-0.017,0.198,-0.005,
00:00:46,290.351,295.852,255.312,230.709,216.428,2.302,-0.018,0.24,-0.005,
00:00:46,319.343,286.55,265.376,232.111,211.981,2.355,-0.018,0.294,-0.005,
00:00:46,335.99,265.491,281.715,238.269,212.014,2.575,-0.018,0.339,-0.004,
00:00:46,310.809,301.127,249.512,248.231,214.451,2.916,-0.018,0.407,-0.004,
00:00:46,332.234,296.415,238.09,237.292,216.785,3.619,-0.012,0.529,-0.002,
00:00:46,308.807,269.711,237.812,201.996,211.977,4.236,-0.007,0.553,-0.001,
00:00:46,278.613,236.836,227.979,165.38,185.657,4.491,-0.006,0.488,-0.002,
00:00:46,254.037,209.836,220.616,159.337,145.692,4.298,-0.01,0.416,-0.003,
00:00:46,227.466,226.742,186.525,164.584,123.22,3.884,-0.013,0.367,-0.003,
00:00:47,204.565,202.026,156.839,164.865,130.401,3.402,-0.014,0.276,-0.004,
00:00:47,187.213,181.638,176.599,137.82,146.987,2.718,-0.014,0.195,-0.004,
00:00:47,176.283,167.87,165.009,118.589,124.035,2.056,-0.015,0.125,-0.004,
00:00:47,170.949,159.564,153.987,153.287,107.988,1.491,-0.015,0.101,-0.004,
00:00:47,227.402,155.753,147.44,144.127,136.116,1.227,-0.015,0.127,-0.004,
00:00:47,234.249,154.366,143.19,137.417,136.065,1.3,-0.014,0.18,-0.004,
00:00:47,241.423,209.6,137.802,129.793,126.29,1.62,-0.014,0.251,-0.003,
00:00:47,248.005,209.094,130.616,120.726,115.491,2.099,-0.013,0.311,-0.003,
00:00:48,253.049,206.464,178.956,109.64,103.155,2.567,-0.012,0.351,-0.003,
00:00:48,258.283,202.753,171.155,152.076,89.901,2.936,-0.012,0.374,-0.003,
00:00:48,264.307,197.753,161.903,140.675,75.37,3.149,-0.012,0.369,-0.003,
00:00:48,275.636,193.328,152.439,129.064,114.932,3.234,-0.012,0.367,-0.003,
00:00:48,305.896,194.82,146.181,119.891,104.302,3.217,-0.013,0.339,-0.003,
00:00:48,392.186,209.045,145.515,114.262,96.473,3.048,-0.014,0.313,-0.004,
00:00:48,539.013,251.902,154.071,113.455,91.998,2.968,-0.015,0.338,-0.004,
00:00:48,613.157,383.383,180.89,120.772,92.761,3.113,-0.016,0.387,-0.004,
00:00:48,644.424,495.495,239.1,135.533,96.618,3.439,-0.015,0.447,-0.004,
00:00:49,728.346,565.902,407.485,166.409,106.588,3.915,-0.014,0.521,-0.003,
00:00:49,765.905,589.232,439.184,227.612,124.63,4.45,-0.012,0.574,-0.003,
00:00:49,856.358,613.007,502.56,362.216,154.721,4.904,-0.01,0.606,-0.002,
00:00:49,949.083,636.517,518.107,371.784,206.57,5.238,-0.008,0.624,-0.002,
00:00:49,989.212,662.267,488.73,339.077,272.441,5.429,-0.007,0.627,-0.001,
00:00:49,349.105,631.064,502.292,397.065,304.72,5.526,-0.005,0.621,-0.001,
00:00:49,944.944,654.824,472.184,365.346,271.324,5.543,-0.004,0.618,-0.001,
00:00:49,1033.888,621.681,436.353,376.015,277.582,5.564,-0.005,0.621,-0.001,
00:00:49,990.023,643.581,451.116,339.043,289.606,5.565,-0.006,0.615,-0.002,
00:00:50,999.065,670.18,418.002,303.47,252.068,5.527,-0.006,0.605,-0.002,
00:00:50,989.7,701.889,437.789,318.122,264.064,5.467,-0.007,0.599,-0.002,
00:00:50,994.434,738.86,460.615,334.857,229.542,5.426,-0.007,0.6,-0.002,
00:00:50,980.891,720.428,486.137,303.523,244.58,5.426,-0.006,0.608,-0.002,
00:00:50,684.374,827.535,462.783,327.241,216.48,5.468,-0.006,0.618,-0.002,
00:00:50,512.558,813.701,491.766,296.944,233.381,5.539,-0.006,0.627,-0.001,
00:00:50,476.625,799.431,582.336,321.73,254.595,5.608,-0.006,0.641,-0.001,
00:00:50,377.454,854.321,558.759,344.512,223.094,5.756,-0.006,0.666,-0.002,
00:00:50,342.634,850.39,540.55,374.259,246.843,5.888,-0.007,0.674,-0.002,
00:00:51,301.527,851.324,647.822,403.635,268.354,5.989,-0.007,0.678,-0.002,
00:00:51,262.328,856.348,635.36,437.089,292.493,6,-0.007,0.687,-0.002,
00:00:51,223.936,419.649,692.916,415.501,320.051,6,-0.006,0.695,-0.001,
00:00:51,238.536,372.798,679.665,513.956,348.329,6,-0.005,0.703,-0.001,
00:00:51,201.699,328.961,663.461,492.347,323.438,6,-0.004,0.718,-0.001,
00:00:51,170.782,293.449,643.205,470.322,300.392,6,-0.003,0.729,-0,
00:00:51,185.77,254.068,613.555,442.283,330.164,6,-0.001,0.714,0,
00:00:51,151.096,216.712,571.616,407.418,356.381,6,0.001,0.702,0,
00:00:52,166.169,687.111,524.173,369.818,324.133,6,0.001,0.7,0,
00:00:52,137.05,631.679,483.973,338.025,296.86,6,0.001,0.713,0,
00:00:52,102.275,576.673,441.937,367.283,266.285,6,-0.001,0.731,-0.001,
00:00:52,772.886,534.377,406.511,336.267,237.606,6,-0.002,0.728,-0.001,
00:00:52,733.063,500.38,375.206,307.603,209.944,6,-0.004,0.719,-0.001,
00:00:52,691.259,478.414,350.629,283.516,244.195,6,-0.005,0.696,-0.002,
00:00:52,647.62,465.85,330.304,262.025,222.748,6,-0.006,0.667,-0.002,
00:00:52,653.26,466.013,315.479,244.057,204.06,5.931,-0.007,0.632,-0.002,
00:00:52,758.599,484.202,306.814,229.657,188.075,5.667,-0.008,0.571,-0.002,
00:00:53,719.889,539.649,309.048,221.233,176.456,5.301,-0.009,0.54,-0.002,
00:00:53,738.008,505.273,322.829,219.775,170.522,5.094,-0.009,0.542,-0.002,
00:00:53,753.749,470.846,353.478,222.791,166.345,5.011,-0.009,0.557,-0.002,
00:00:53,724.224,622.585,416.37,235.348,167.581,5.062,-0.009,0.578,-0.002,
00:00:53,744.698,587.091,399.917,255.019,171.235,5.182,-0.008,0.599,-0.002,
00:00:53,716.071,599.659,359.803,291.264,181.923,5.336,-0.008,0.62,-0.002,
00:00:53,686.687,612.824,512.615,328.163,196.068,5.565,-0.007,0.669,-0.001,
00:00:53,653.973,576.103,472.01,284.658,215.374,5.902,-0.006,0.709,-0.001,
00:00:53,618.174,537.339,430.21,240.464,243.219,6,-0.005,0.731,-0.001,
00:00:54,587.68,553.821,442.937,274.612,210.429,6,-0.006,0.745,-0.001,
00:00:54,557.116,521.457,408.018,359.01,171.307,6,-0.006,0.745,-0.001,
00:00:54,521.258,483.829,367.629,316.182,183.63,6,-0.006,0.729,-0.002,
00:00:54,492.369,453.219,383.206,281.005,261.819,6,-0.007,0.684,-0.002,
00:00:54,459.874,418.358,345.379,288.503,241.61,5.957,-0.008,0.643,-0.002,
00:00:54,433.563,389.978,364.417,255.48,209.614,5.835,-0.008,0.622,-0.002,
00:00:54,403.804,358.147,330.796,267.599,216.012,5.673,-0.008,0.61,-0.002,
00:00:54,438.312,326.175,297.723,232.539,179.175,5.525,-0.008,0.58,-0.002,
00:00:54,415.325,297.537,267.922,250.594,194.03,5.231,-0.009,0.518,-0.003,
00:00:55,400.7,273.81,242.289,223.362,213.187,4.84,-0.011,0.489,-0.003,
00:00:55,394.811,257.067,223.445,203.057,191.408,4.612,-0.011,0.476,-0.003,
00:00:55,397.153,241.775,205.007,182.766,169.525,4.378,-0.012,0.45,-0.003,
00:00:55,412.073,310.274,189.209,164.861,150.105,4.181,-0.013,0.441,-0.003,
00:00:55,449.322,316.072,177.447,150.4,134.042,4.11,-0.013,0.463,-0.003,
00:00:55,516.908,330.102,248.009,137.547,119.73,4.228,-0.012,0.502,-0.003,
00:00:55,632.393,350.376,247.516,124.149,105.393,4.447,-0.011,0.529,-0.003,
00:00:55,811.912,372.907,246.906,188.838,92.435,4.632,-0.01,0.549,-0.002,
00:00:55,1008.762,407.024,248.92,183.292,148.623,4.814,-0.009,0.568,-0.002,
00:00:56,1074.62,449.281,248.836,175.761,139.131,4.985,-0.008,0.583,-0.002,
00:00:56,1040.223,528.608,251.161,168.059,129.228,5.142,-0.007,0.59,-0.002,
00:00:56,1008.539,677.135,254.987,160.062,119.281,5.24,-0.007,0.594,-0.002,
00:00:56,1025.224,875.36,267.246,154.881,111.42,5.303,-0.007,0.598,-0.002,
00:00:56,1043.119,837.04,294.587,153.746,106.199,5.352,-0.006,0.602,-0.002,
00:00:56,1014.016,896.525,343.235,155.007,102.112,5.379,-0.006,0.594,-0.002,
00:00:56,593.955,861.69,450.963,161.194,99.985,5.314,-0.007,0.575,-0.002,
00:00:56,505.303,877.282,726.755,187.765,106.632,5.211,-0.007,0.565,-0.002,
00:00:56,434.552,896.946,690.024,241.704,119.678,5.16,-0.008,0.573,-0.002,
00:00:57,385.007,873.708,756.1,340.858,140.969,5.181,-0.007,0.585,-0.002,
00:00:57,338.483,847.54,722.866,619.658,180.967,5.268,-0.007,0.607,-0.001,
00:00:57,307.047,466.788,742.166,591.372,230.268,5.401,-0.005,0.625,-0.001,
00:00:57,278.7,409.778,707.067,649.01,301.433,5.547,-0.003,0.637,-0,
00:00:57,257.325,372.278,669.43,610.034,373.597,5.661,-0.002,0.643,-0,
00:00:57,239.529,344.826,630.368,571.07,436.167,5.726,-0,0.642,0,
00:00:57,228.41,677.189,595.574,537.054,446.731,5.747,0.001,0.641,0,
00:00:57,215.733,632.468,554.012,497.009,406.758,5.754,0.002,0.639,0,
00:00:57,206.373,588.149,513.217,458.01,368.023,5.746,0.002,0.637,0.001,
00:00:58,199.63,542.786,471.479,418.101,328.316,5.739,0.002,0.637,0.001,
00:00:58,543.251,504.485,436.164,384.252,294.517,5.733,0.002,0.636,0.001,
00:00:58,493.496,459.921,394.881,344.496,256.385,5.729,0.003,0.636,0.001,
00:00:58,451.915,422.471,311.737,310.738,257.211,5.727,0.003,0.636,0.001,
00:00:58,403.943,378.968,271.045,271.018,255.542,5.728,0.003,0.636,0.001,
00:00:58,356.939,286.55,230.571,231.254,239.231,5.726,0.002,0.636,0.001
00:00:03,308.877,407.862,532.077,639.694,223.518,1.478,0.003,0.346,0.001,
00:00:03,294.041,472.934,520.391,630.287,211.525,2.333,0.004,0.383,0.001,
00:00:03,271.715,455.617,550.246,614.894,195.33,2.941,0.004,0.394,0.001,
00:00:03,263.758,436.477,533.267,600.231,180.28,3.288,0.004,0.435,0.001,
00:00:03,299.309,413.698,512.47,581.441,167.083,3.72,0.004,0.502,0.001,
00:00:03,345.685,434.27,486.711,557.207,153.473,4.253,0.003,0.546,0,
00:00:03,366.224,407.121,508.721,530.723,242.32,4.597,0.001,0.559,0,
00:00:03,337.431,379.084,480.653,501.759,230.435,4.784,0,0.549,0,
00:00:03,307.727,350.061,451.472,471.499,221.198,4.832,0.001,0.536,0,
00:00:03,273.637,317.015,418.666,437.96,474.223,4.811,0.002,0.53,0.001,
00:00:04,277.637,337.003,391.249,410.374,445.704,4.782,0.003,0.527,0.001,
00:00:04,263.937,309.098,364.241,383.551,418.449,4.774,0.004,0.533,0.001,
00:00:04,229.638,276.418,332.728,352.379,386.994,4.785,0.005,0.528,0.001,
00:00:04,241.496,245.028,302.657,322.845,357.56,4.656,0.006,0.472,0.002,
00:00:04,214.101,264.733,275.862,297.4,333.581,4.353,0.008,0.437,0.002,
00:00:04,186.114,239.235,252.391,275.952,379.517,4.079,0.01,0.417,0.003,
00:00:04,214.094,221.357,236.572,262.6,374.336,3.918,0.012,0.414,0.003,
00:00:04,195.11,204.641,222.251,251.54,375.283,3.858,0.014,0.435,0.004,
00:00:04,175.845,188.092,208.999,312.605,388.453,3.989,0.015,0.48,0.004,
00:00:05,158.429,173.143,197.485,315.998,413.947,4.258,0.014,0.519,0.004,
00:00:05,143.337,159.744,256.852,320.972,445.809,4.49,0.014,0.531,0.003,
00:00:05,127.607,145.749,254.428,334.3,509.846,4.576,0.013,0.511,0.003,
00:00:05,111.942,202.168,253.863,355.594,625.073,4.628,0.012,0.535,0.003,
00:00:05,163.172,197.138,258.898,394.458,629.923,4.836,0.012,0.582,0.003,
00:00:05,154.185,192.4,266.567,456.347,737.322,5.135,0.011,0.618,0.002,
00:00:05,144.965,187.451,277.071,563.712,750.042,5.402,0.01,0.632,0.002,
00:00:05,140.671,188.266,298.233,529.054,719.616,5.538,0.009,0.634,0.002,
00:00:05,135.8,190.618,336.813,569.163,782.665,5.63,0.009,0.636,0.002,
00:00:06,136.604,203.847,427.021,593.111,799.989,5.693,0.009,0.644,0.002,
00:00:06,142.409,230.255,411.802,603.977,820.635,5.78,0.009,0.659,0.002,
00:00:06,153.809,271.389,375.374,571.819,845.901,5.876,0.008,0.672,0.002,
00:00:06,171.834,337.857,477.005,631.118,866.691,6,0.006,0.69,0.001,
00:00:06,192.829,299.785,441.32,598.48,839.112,6,0.005,0.705,0.001,
00:00:06,219.005,256.487,399.892,608.638,855.956,6,0.004,0.706,0.001,
00:00:06,220.238,213.728,406.719,569.091,819.411,6,0.004,0.679,0.001,
00:00:06,181.919,321.551,371.497,535.44,788.774,5.988,0.004,0.651,0.001,
00:00:06,139.779,281.089,332.703,498.939,811.75,5.773,0.005,0.587,0.001,
00:00:07,206.855,242.025,295.249,515.674,840.729,5.446,0.006,0.563,0.001,
00:00:07,207.503,254.372,359.352,484.877,876.191,5.241,0.005,0.561,0.001,
00:00:07,171.6,219.907,326.43,507.308,914.236,5.093,0.005,0.526,0.001,
00:00:07,186.176,187.61,346.037,480.317,900.121,4.687,0.006,0.431,0.002,
00:00:07,161,163.413,324.285,517.728,960.11,4.213,0.007,0.392,0.002,
00:00:07,135.153,236.819,354.528,559.879,967.885,3.838,0.007,0.392,0.002,
00:00:07,210.833,217.506,337.898,667.327,977.447,3.765,0.007,0.435,0.002,
00:00:07,187.648,245.489,372.369,779.999,987.653,3.966,0.006,0.482,0.001,
00:00:08,163.382,222.125,351.459,771.791,992.986,4.224,0.005,0.509,0.001,
00:00:08,187.029,248.991,385.231,826.45,997.015,4.457,0.005,0.527,0.001,
00:00:08,160.877,223.557,420.479,819.411,589.763,4.631,0.006,0.538,0.001,
00:00:08,188.377,254.975,520.961,814.634,555.497,4.759,0.006,0.554,0.001,
00:00:08,162.298,284.206,625.249,810.34,461.413,4.934,0.006,0.579,0.002,
00:00:08,187.262,315.659,612.082,809.357,423.661,5.115,0.006,0.594,0.002,
00:00:08,213.344,349.214,664.637,809.168,387.423,5.249,0.006,0.595,0.001,
00:00:08,191.323,388.321,655.167,809.397,355.584,5.276,0.006,0.586,0.002,
00:00:08,221.512,490.841,648.699,817.512,320.849,5.277,0.006,0.589,0.002,
00:00:09,310.472,477.427,645.29,832.112,285.684,5.328,0.006,0.614,0.001,
00:00:09,346.233,526.286,637.403,840.368,250.594,5.514,0.005,0.647,0.001,
00:00:09,382.897,508.41,622.721,283.433,215.217,5.733,0.003,0.673,0.001,
00:00:09,361.642,487.052,600.737,355.097,184.222,5.917,0.002,0.688,0,
00:00:09,395.561,460.079,570.456,781.761,198.089,6,0.001,0.695,0,
00:00:09,372.707,434.386,540.198,744.046,166.86,6,0.001,0.691,0,
00:00:09,344.884,402.9,502.748,696.526,130.573,6,0.001,0.688,0,
00:00:09,318.138,372.594,466.651,650.676,192.927,6,0.001,0.686,0,
00:00:09,292.289,343.169,431.364,605.329,156.737,6,0.001,0.684,0,
00:00:10,265.1,312.136,394.018,557.085,708.573,5.978,0.002,0.64,0.001,
00:00:10,242.523,287.59,366.923,528.889,669.914,5.732,0.004,0.589,0.001,
00:00:10,224.796,270.026,351.407,525.874,631.341,5.46,0.006,0.573,0.002,
